company_name,industry,sector,headquarters,file_name
TVN 7,Consumer services,Broadcasting & entertainment,Warsaw,MalPatSaj_wikipedia
TVN Group,Consumer services,Broadcasting & entertainment,Warsaw,MalPatSaj_wikipedia
Tymbark,Consumer goods,Soft drinks,Tymbark,MalPatSaj_wikipedia
Ursus SA,Automotive inductry,Agricultural machinery,Lublin,MalPatSaj_wikipedia
Van Pur,Consumer goods,Brewers,Rakszawa[5],MalPatSaj_wikipedia
Wieliczka Salt Mine,Consumer services,Recreational services,Wieliczka,MalPatSaj_wikipedia
Wielton,Automotive industry,Utility vehicles,Wieluń,MalPatSaj_wikipedia
Żabka,Consumer services,Food retailers & wholesalers,Poznań,MalPatSaj_wikipedia
ZMT SA,Industrials,Defense,Tarnów,MalPatSaj_wikipedia
Żubrówka,Consumer goods,Brewers,Białystok,MalPatSaj_wikipedia
Żywiec Brewery,Consumer goods,Brewers,Żywiec,MalPatSaj_wikipedia
Altri,Basic materials,Paper,Porto,MalPatSaj_wikipedia
Ambar – Ideas on Paper S.A.,Industrials,Industrial suppliers,Porto,MalPatSaj_wikipedia
Banco Comercial Português,Financials,Banks,Porto,MalPatSaj_wikipedia
Bial,Health care,Pharmaceuticals,Trofa,MalPatSaj_wikipedia
Caixa Geral de Depósitos,Financials,Banks,Lisbon,MalPatSaj_wikipedia
Carris,Consumer services,Travel & tourism,Lisbon,MalPatSaj_wikipedia
Central de Cervejas,Consumer goods,Brewers,Vila Franca de Xira,MalPatSaj_wikipedia
Chipidea,Technology,Semiconductors,Oeiras,MalPatSaj_wikipedia
Churchill's Port,Wine making,Port wine,Porto,MalPatSaj_wikipedia
Ciberbit,Technology,Software,Coimbra,MalPatSaj_wikipedia
Cimpor,Industrials,Building materials & fixtures,Lisbon,MalPatSaj_wikipedia
CMS-Helmets,Consumer goods,Clothing & accessories,Anadia,MalPatSaj_wikipedia
Cofina,Consumer services,Publishing,Porto,MalPatSaj_wikipedia
Comboios de Portugal,Consumer services,Travel & tourism,Lisbon,MalPatSaj_wikipedia
Conservas Ramirez,Consumer goods,Food products,Matosinhos,MalPatSaj_wikipedia
Continente,Consumer services,Food retailers & wholesalers,Matosinhos,MalPatSaj_wikipedia
Corticeira Amorim,Basic materials,Industrial suppliers,Santa Maria da Feira[11],MalPatSaj_wikipedia
Critical Software,Technology,Software,Coimbra,MalPatSaj_wikipedia
CTT Correios de Portugal. S.A. (CTT),Industrials,Delivery services,Lisbon,MalPatSaj_wikipedia
Delta Cafés,Consumer goods,Food products,Campo Maior,MalPatSaj_wikipedia
